DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ADILABAD,0.0041188,0.0038443,0.0062606,0.0065352,0.0099951,0.0979735,0.1743094,0.1601955,0.0941293,0.0455819,0.0081278,0.0040090
AGRA,0.0096106,0.0054369,0.0048877,0.0021967,0.0051074,0.0295458,0.1247185,0.1542644,0.0688670,0.0154319,0.0027459,0.0025811
AHMEDABAD,0.0004393,0.0001648,0.0002746,0.0003844,0.0032402,0.0499753,0.1182932,0.1047833,0.0578835,0.0104893,0.0045033,0.0009885
AHMEDNAGAR,0.0003295,0.0007139,0.0016475,0.0029106,0.0118623,0.0576089,0.0559064,0.0504146,0.0763908,0.0405294,0.0123565,0.0041188
AIZAWL,0.0075787,0.0171344,0.0592564,0.1020375,0.1929815,0.2568510,0.2464166,0.2639903,0.2146741,0.1397660,0.0358614,0.0090615
AJMER,0.0020320,0.0010984,0.0011533,0.0012082,0.0048877,0.0239442,0.0939096,0.0851227,0.0329507,0.0053270,0.0013729,0.0008238
AKOLA,0.0047229,0.0029106,0.0048328,0.0024164,0.0053270,0.0784777,0.1242792,0.1121973,0.0707343,0.0289967,0.0091713,0.0037344
ALAPPUZHA,0.0096106,0.0153221,0.0247680,0.0735900,0.1640398,0.3256631,0.2927124,0.1884233,0.1520127,0.1828217,0.1030260,0.0283376
ALIGARH,0.0107090,0.0069197,0.0051623,0.0030754,0.0101049,0.0260311,0.1170300,0.1438300,0.0732056,0.0214180,0.0023066,0.0036246
ALIRAJPUR(JBA),0.0021418,0.0012082,0.0009336,0.0009336,0.0045582,0.0625515,0.1487177,0.1411390,0.0863859,0.0169147,0.0060410,0.0027459
ALLAHABAD,0.0096106,0.0054918,0.0041738,0.0019770,0.0036246,0.0450876,0.1458070,0.1531111,0.1001153,0.0190016,0.0051623,0.0025262
ALMORA,0.0253721,0.0257016,0.0260311,0.0140041,0.0256467,0.0726564,0.1646988,0.1520677,0.0819924,0.0314130,0.0044483,0.0115328
ALWAR,0.0052721,0.0056016,0.0030754,0.0030205,0.0086770,0.0242737,0.1081333,0.1171399,0.0554122,0.0109836,0.0022516,0.0026361
AMBALA,0.0213631,0.0173541,0.0138942,0.0042287,0.0112582,0.0577736,0.1690373,0.1790323,0.0975342,0.0188918,0.0048328,0.0114778
AMBEDKAR NAGAR,0.0081278,0.0060410,0.0046680,0.0034049,0.0098303,0.0561261,0.1745291,0.1550881,0.1111538,0.0220770,0.0019770,0.0034598
AMRAVATI,0.0055467,0.0034598,0.0042836,0.0020320,0.0035147,0.0753474,0.1396013,0.1338898,0.0831457,0.0291065,0.0083475,0.0045582
AMRELI,0.0003295,0.0001098,0.0007689,0.0001098,0.0017574,0.0575540,0.1047833,0.0693064,0.0529409,0.0139491,0.0091164,0.0008238
AMRITSAR,0.0166950,0.0159262,0.0194409,0.0114778,0.0093910,0.0236696,0.1160964,0.1065956,0.0488769,0.0157614,0.0041738,0.0082377
ANAND(KHR),0.0006590,0.0001648,0.0008787,0.0002197,0.0020320,0.0656269,0.1522873,0.1434455,0.0718875,0.0105442,0.0092811,0.0013180
ANANTAPUR,0.0016475,0.0018123,0.0033500,0.0103795,0.0311384,0.0303147,0.0353122,0.0409138,0.0707343,0.0631556,0.0193860,0.0063705
ANANTNAG,0.0456917,0.0553023,0.0838596,0.0622769,0.0555220,0.0358065,0.0479982,0.0450876,0.0276786,0.0216926,0.0211434,0.0304245
ANGUL,0.0037893,0.0104893,0.0137844,0.0163106,0.0304245,0.1130210,0.1758471,0.1951782,0.1252128,0.0538745,0.0080729,0.0019770
ANJAW (LOHIT),0.0231754,0.0443737,0.0968752,0.1968807,0.1682684,0.2454830,0.3625130,0.2349388,0.1722225,0.0917678,0.0187270,0.0163655
ANUPPUR(SHAHD,0.0162008,0.0136196,0.0112582,0.0080729,0.0109287,0.0975342,0.2121478,0.2126421,0.1228513,0.0258114,0.0044483,0.0083475
ARARIA,0.0075787,0.0043934,0.0084574,0.0202098,0.0628810,0.1492119,0.2441650,0.1935307,0.1528365,0.0461310,0.0040639,0.0029106
ARIYALUR,0.0116426,0.0062057,0.0071942,0.0120270,0.0366852,0.0282827,0.0399253,0.0709539,0.0761162,0.1062112,0.1126915,0.0806744
ARWAL,0.0087319,0.0037344,0.0028557,0.0017574,0.0061508,0.0619474,0.1347685,0.1370751,0.0998957,0.0182877,0.0028557,0.0021418
ASHOKNAGAR(GNA,0.0039541,0.0035697,0.0016475,0.0003844,0.0009885,0.0391015,0.1733209,0.1724422,0.0902301,0.0137844,0.0030205,0.0064803
